11,21,27,36,62,24
14,18,36,49,67,18
18,31,36,43,47,20
6,24,30,53,56,19
5,18,23,40,50,18
21,37,52,53,58,5
6,10,31,37,44,23
1,3,13,44,56,26
18,20,27,45,65,6
11,28,37,40,53,13
2,6,40,42,55,24
23,32,33,45,49,14
14,16,37,48,58,18
13,15,17,45,63,13
7,15,18,32,45,20
4,5,17,43,52,5
51,54,57,60,69,11
2,57,58,60,65,26
8,12,18,44,51,18
28,31,40,41,46,4
3,4,6,48,53,10
11,14,31,47,48,4
17,54,56,63,69,20
4,23,37,61,67,7
27,32,34,43,52,13
6,13,38,39,53,6
10,24,27,35,53,18
3,43,45,61,65,14
3,4,11,41,67,5
1,20,22,60,66,3
14,26,38,45,46,13
4,19,23,25,49,14
14,20,39,65,67,2
40,53,60,68,69,22
5,8,17,27,28,14
17,33,35,42,52,9
1,2,7,52,61,4
5,37,40,64,66,5
1,16,48,49,65,8
15,39,58,63,67,7
20,28,33,63,68,20
1,15,21,32,46,1
4,8,22,32,58,4
4,33,43,53,65,21
2,28,31,44,52,18
21,40,44,50,55,16
11,31,50,52,58,18
17,18,37,44,53,18
5,11,51,56,61,2
34,38,42,61,62,19
1,6,22,42,61,4
4,9,17,27,38,18
6,14,38,39,65,6
3,10,44,55,68,24
1,12,17,39,53,5
27,35,39,51,66,16
14,16,23,50,53,3
13,30,33,45,61,14
10,21,26,41,49,25
21,25,32,63,67,6
22,36,48,59,61,22
8,17,49,52,59,1
11,14,23,47,57,14
10,17,31,51,53,1
16,17,20,53,67,4
27,52,55,60,64,21
15,21,22,27,47,7
1,4,11,20,69,18
5,21,22,29,43,10
8,12,19,47,58,2
19,30,36,42,66,14
13,23,47,55,58,23
5,12,34,45,56,3
2,6,18,36,37,21
2,3,14,40,51,24
7,14,17,57,65,24
6,25,36,43,48,24
7,29,35,40,45,26
5,21,36,61,62,18
16,25,36,44,55,14
13,16,32,58,59,9
27,47,61,62,69,4
14,19,61,62,64,4
3,10,34,36,62,5
16,21,27,60,61,6
15,28,52,53,63,18
9,36,49,56,62,8
15,22,27,33,46,23
10,31,41,63,67,5
7,10,63,64,68,10
2,12,32,50,65,5
10,33,41,52,54,18
1,17,38,68,69,18
1,3,26,41,64,17
13,32,41,58,60,14
38,58,59,64,68,21
2,8,18,21,23,16
18,34,40,42,50,9
8,12,26,39,42,11
39,53,54,56,57,20
12,18,42,48,65,19
7,8,35,50,65,20
13,16,33,58,68,24
2,20,49,61,67,20
1,3,21,47,57,18
1,33,35,40,69,24
4,44,46,56,63,19
10,12,33,36,41,2
22,29,30,42,47,17
2,37,39,48,54,5
8,31,39,40,43,4
33,35,45,48,60,16
7,40,48,55,66,11
5,9,27,39,42,16
2,23,40,59,69,13
15,27,44,59,63,8
9,23,26,30,32,8
4,29,49,50,67,2
7,15,21,33,62,23
18,43,58,60,68,14
24,44,46,50,51,13
8,27,29,36,47,24
25,37,39,61,62,11
10,12,15,19,56,19
16,32,35,36,46,3
14,47,54,55,68,25
35,49,50,59,66,6
23,30,35,41,57,2
12,33,54,57,60,13
9,12,15,31,60,2
2,9,17,36,67,18
11,33,44,59,67,8
20,24,38,56,68,18
39,41,53,55,68,19
3,21,23,31,59,3
2,4,7,43,56,22
1,11,21,25,54,7
49,53,57,59,62,26
20,23,39,59,60,18
2,4,16,30,46,20
19,31,35,50,67,14
14,18,26,39,68,9
3,6,12,32,64,19
24,29,42,44,63,10
18,42,53,62,66,25
8,27,44,51,61,14
15,35,42,63,68,18
15,26,37,53,55,21
28,35,38,61,66,23
7,15,39,40,57,12
14,22,26,55,63,26
23,26,27,28,66,11
14,17,35,38,60,25
15,28,46,62,64,17
3,23,32,37,58,22
19,22,52,56,67,21
3,20,48,54,59,4
5,12,50,61,69,23
14,27,29,59,65,12
1,5,25,63,67,3
12,29,34,53,65,23
5,18,33,43,65,2
6,14,36,51,54,4
4,8,10,43,53,7
15,23,34,51,55,4
37,43,44,45,53,25
1,9,22,36,68,22
14,19,39,47,51,15
11,27,31,36,67,11
6,17,24,53,57,3
11,20,41,42,56,6
4,8,30,52,59,2
14,41,50,56,57,18
9,32,37,41,56,14
5,12,20,21,47,1
12,21,22,29,32,21
18,21,24,30,60,20
10,13,30,51,69,10
35,41,44,58,59,3
8,32,47,53,59,3
3,6,45,66,68,13
14,37,47,55,67,6
1,19,31,48,61,6
22,29,35,53,56,13
5,26,36,64,69,19
19,43,47,60,68,10
13,23,32,35,68,21
7,9,26,44,68,3
4,8,23,46,65,1
40,43,45,50,61,25
13,17,24,59,62,8
1,5,16,22,54,24
3,6,11,14,66,21
4,18,21,26,38,1
8,11,14,16,49,14
5,35,38,42,57,13
9,13,42,48,60,18
17,23,28,34,38,8
6,15,34,45,52,8
3,32,34,42,61,7
1,2,39,43,66,2
7,10,20,44,57,3
2,10,25,66,67,26
7,17,33,61,68,4
6,8,9,37,40,26
1,45,53,64,66,3
6,16,23,30,61,2
5,23,28,56,66,17
2,29,41,45,62,6
6,32,35,36,65,4
3,27,30,63,65,1
1,15,17,46,66,15
4,17,26,32,49,10
12,21,23,39,67,6
15,33,43,59,60,8
16,19,25,32,49,18
21,52,54,64,68,4
16,20,37,44,62,12
24,25,52,60,66,5
10,14,50,53,63,21
30,34,39,53,67,11
18,36,45,47,69,14
5,6,45,55,59,14
6,10,21,35,46,23
1,19,25,27,68,21
21,31,42,49,59,23
4,6,14,20,32,13
27,49,50,51,52,2
29,30,41,48,64,1
2,8,14,24,69,26
1,2,3,7,39,25
5,13,28,38,63,21
10,17,18,43,65,13
2,12,16,29,54,6
8,12,20,21,32,10
23,25,47,48,50,24
5,8,41,65,66,20
14,29,31,56,61,1
7,36,48,57,58,24
6,19,37,49,59,22
3,7,15,27,69,19
8,12,42,46,56,12
12,42,51,53,62,25
5,25,38,52,67,24
21,28,30,40,59,26
15,29,31,37,43,16
8,38,43,52,55,17
4,9,21,29,64,26
14,32,34,46,61,10
9,11,36,37,38,11
10,11,47,55,58,26
4,19,59,68,69,21
11,33,51,56,58,18
7,14,23,38,55,18
6,8,20,52,68,5
7,42,49,62,69,23
5,29,34,53,57,24
26,28,34,42,50,25
15,21,24,32,65,11
7,25,39,40,47,20
8,12,13,19,27,4
3,21,45,53,56,22
16,54,57,62,69,23
3,57,64,68,69,15
11,14,32,43,65,15
8,23,27,42,60,7
1,22,27,53,67,15
41,53,59,63,66,3
9,17,34,59,64,22
1,2,7,30,50,8
24,61,63,64,69,18
4,39,48,50,51,11
2,18,19,24,34,3
6,28,48,63,64,24
3,13,20,32,33,21
6,15,50,59,60,13
11,54,55,61,66,9
25,41,53,57,67,12
20,25,54,57,63,8
1,7,45,47,69,13
24,34,52,61,67,16
12,15,28,47,48,16
5,43,56,62,68,24
10,21,30,43,63,17
3,11,38,44,58,2
5,22,32,38,58,26
22,27,46,56,65,13
2,18,41,44,64,26
9,23,56,58,68,1
1,10,27,28,36,12
22,41,42,49,67,11
19,21,27,46,47,7
1,10,43,45,64,22
4,7,15,41,44,10
3,9,20,42,61,24
7,28,37,62,63,15
16,29,43,45,56,25
4,14,23,27,56,13
9,45,57,58,65,9
13,20,38,45,55,1
6,10,15,25,36,14
23,28,41,53,56,14
23,25,37,44,64,7
17,23,26,46,68,20
1,21,31,45,49,21
20,54,56,61,64,7
3,6,9,17,56,25
17,19,21,22,51,19
22,42,45,55,56,14
11,16,38,50,69,19
14,29,36,57,61,17
5,14,31,40,50,6
20,22,28,45,50,8
17,18,39,56,64,12
40,50,54,62,69,19
9,10,12,17,23,9
17,19,26,61,62,15
16,18,27,55,67,18
2,17,20,38,39,20
8,24,42,54,64,24
8,24,52,55,61,21
6,8,26,52,53,21
10,33,45,53,56,24
3,4,18,29,61,25
22,57,59,60,66,7
6,12,24,41,68,9
43,44,54,61,69,22
6,13,19,36,51,18
13,17,25,36,40,5
12,30,59,65,69,16
24,25,38,62,63,6
7,15,31,34,36,8
13,26,39,44,62,2
37,39,44,46,69,26
1,13,27,41,59,20
23,34,35,40,47,10
15,23,27,48,53,6
4,7,14,46,59,22
17,21,26,47,54,7
5,9,11,33,64,21
26,28,47,49,58,3
3,33,37,51,57,21
14,25,35,58,69,24
7,24,33,49,50,4
12,61,30,29,33,26
2,18,37,39,42,12
28,36,41,51,58,24
3,9,16,56,60,3
1,3,13,15,44,25
1,20,61,64,69,20
9,35,37,50,63,11
2,24,28,51,58,7
25,36,37,55,60,6
19,20,50,55,62,9
28,30,32,36,58,6
24,26,28,59,63,16
8,13,27,53,54,4
35,37,46,51,61,13
17,28,31,32,39,26
23,32,44,48,50,25
4,6,16,30,56,18
12,14,20,21,34,22
12,14,26,48,51,13
3,6,19,26,44,1
27,35,38,57,66,10
18,22,29,54,57,8
14,41,42,45,69,4
30,49,54,66,69,8
32,37,56,66,69,11
1,3,13,19,69,23
10,49,61,63,65,7
22,23,62,63,66,24
8,12,25,41,64,15
8,10,21,23,25,22
24,45,55,56,57,19
39,48,53,67,68,26
17,18,24,25,31,24
17,24,35,57,63,19
6,20,29,57,59,22
8,14,32,58,67,17
6,21,41,52,62,26
19,28,43,67,69,7
7,15,32,38,66,15
6,7,16,23,26,4
17,19,39,43,68,13
9,15,43,60,64,4
20,24,26,35,49,19
12,30,36,47,62,9
11,21,28,33,45,11
1,16,54,63,69,18
1,28,40,45,48,12
7,19,21,42,69,12
5,32,44,53,60,9
50,51,59,61,63,4
9,40,63,64,66,17
1,2,18,23,61,9
8,10,29,40,59,26
4,9,16,54,68,21
19,42,45,48,53,16
29,37,46,53,68,8
10,22,32,36,58,10
14,46,61,65,68,13
10,13,32,53,62,21
5,22,43,57,63,24
5,21,57,66,69,13
3,9,21,41,54,25
4,33,39,46,60,6
5,10,28,55,67,9
28,32,33,38,62,15
5,22,45,47,54,3
4,11,39,45,48,9
17,20,32,63,68,19
29,31,46,56,62,8
11,21,31,41,59,21
17,18,49,59,66,9
22,23,24,45,62,5
1,15,18,26,51,26
21,39,41,48,63,6
1,19,37,40,52,15
5,22,26,45,61,13
8,14,61,63,68,24
23,36,51,53,60,15
8,20,46,53,54,13
9,32,36,44,65,1
8,15,31,36,62,11
18,31,32,45,48,16
2,9,27,29,42,9
13,25,44,54,67,5
16,30,41,48,53,16
1,26,41,50,57,11
23,33,42,46,59,4
2,18,19,22,63,19
10,16,40,52,55,17
6,32,47,62,65,19
10,13,28,52,61,2
3,7,9,31,33,20
5,28,33,38,42,19
5,9,17,37,64,2
14,20,42,49,66,5
6,13,16,17,52,25
9,43,57,60,64,10
12,20,39,49,69,17
18,28,62,66,68,22
23,25,45,52,67,2
9,40,41,53,58,12
23,55,59,64,69,13
1,3,13,16,43,24
3,12,24,37,63,10
16,17,29,41,42,4
1,3,28,57,67,9
16,23,30,44,58,4
28,38,42,51,52,21
25,33,40,54,68,3
1,8,16,40,48,10
18,26,37,39,66,15
12,21,32,44,66,15
41,48,49,53,64,20
8,10,26,27,33,22
3,14,18,25,45,7
17,19,21,37,44,16
7,32,41,47,61,3
16,24,28,43,61,21
28,41,61,63,65,7
8,17,20,27,52,24
1,25,28,31,54,2
21,31,50,51,69,8
13,18,37,54,61,5
19,20,21,42,48,23
2,3,16,48,56,24
1,28,33,55,56,22
10,16,38,43,63,23
23,49,57,64,67,20
16,30,34,37,44,16
3,54,61,64,68,9
8,18,27,29,60,15
2,12,50,61,64,1
30,38,52,53,62,1
7,15,20,29,41,22
1,28,63,67,69,17
9,19,51,55,62,14
10,11,23,28,31,14
3,17,49,55,68,8
22,23,29,33,55,21
7,39,50,59,67,25
5,10,24,56,61,12
4,32,48,49,63,20
9,11,25,64,65,16
3,6,21,60,68,24
33,44,49,50,52,8
38,44,60,64,69,6
23,56,61,64,67,12
20,33,36,47,52,12
9,11,27,66,67,2
11,17,21,23,32,5
10,47,50,65,68,24
5,7,23,35,39,11
6,25,35,58,66,5
11,17,40,50,62,26
3,15,29,54,57,10
10,28,32,61,64,12
2,24,31,57,66,18
10,34,39,59,63,4
23,29,37,60,64,6
3,27,36,56,69,25
14,40,42,43,52,17
2,23,41,53,63,11
4,22,24,31,33,10
20,27,36,41,58,7
12,25,37,60,69,20
16,20,22,43,64,17
23,30,33,40,69,12
6,33,34,58,59,12
11,24,41,59,64,15
5,7,9,23,32,26
23,25,39,54,67,11
13,27,47,64,65,9
20,32,52,66,69,23
5,25,26,44,66,9
30,47,57,66,69,3
3,12,16,32,34,14
2,25,33,39,64,17
19,35,46,59,62,13
12,25,30,52,62,8
3,18,25,32,51,3
30,33,35,38,64,22
14,22,23,41,61,9
4,28,49,60,65,25
9,28,30,40,61,3
24,44,53,55,63,19
11,23,42,52,68,6
5,8,15,22,49,25
11,23,43,54,60,3
10,12,13,46,50,21
11,28,50,57,62,23
14,23,32,34,68,3
3,27,34,59,69,19
12,13,44,52,62,6
10,11,21,22,53,18
21,31,64,65,67,5
11,12,15,16,54,25
7,17,27,29,40,25
7,15,18,19,36,20
2,3,40,50,62,5
4,13,31,36,52,8
26,28,31,60,67,23
5,12,16,31,43,18
3,12,40,52,67,21
22,32,34,40,69,19
5,39,44,47,69,24
3,51,52,61,64,6
4,8,19,27,34,10
16,19,32,34,57,13
2,11,47,62,63,17
5,6,15,29,42,10
12,36,38,54,61,22
27,40,44,59,65,20
16,38,55,63,67,25
28,30,41,59,68,10
9,10,32,42,55,6
2,14,19,30,62,22
7,10,16,46,56,1
13,27,33,47,68,13
14,18,19,32,64,9
2,6,47,66,67,2
16,29,53,58,69,21
37,47,50,52,57,21
17,40,41,46,69,6
14,22,37,45,66,5
4,26,32,55,64,18
7,16,25,50,53,15
2,12,17,20,65,17
9,20,25,47,68,7
4,54,56,62,63,10
20,31,56,60,64,2
30,32,42,56,57,11
48,49,57,62,69,19
15,20,29,31,40,1
12,27,29,43,68,1
18,30,40,48,52,9
6,26,33,44,46,4
21,39,40,55,59,17
23,31,42,50,57,5
8,29,41,51,58,5
12,17,26,43,48,24
5,7,24,31,39,7
2,3,13,16,35,27
44,45,47,50,51,8
10,16,18,29,45,19
17,22,30,46,56,16
18,21,25,28,29,16
2,22,32,45,56,12
4,12,14,21,55,7
6,8,43,48,50,7
3,13,17,42,52,24
8,13,29,38,52,28
9,34,48,52,54,15
9,11,14,16,42,19
7,13,24,49,57,15
4,22,27,28,52,35
27,29,34,41,44,2
12,31,43,44,57,11
6,37,39,45,55,33
13,16,34,45,50,11
11,39,46,52,54,3
4,15,25,27,30,18
3,6,14,18,24,21
7,24,26,31,41,25
18,28,35,46,49,27
3,5,10,22,32,7
9,10,16,20,57,15
20,21,22,41,54,7
29,41,48,52,54,29
31,32,48,49,53,25
8,13,18,27,43,15
6,8,13,37,40,11
8,9,25,56,57,22
8,15,34,53,59,23
9,15,17,31,43,16
1,12,28,35,44,25
24,29,38,48,52,32
1,25,29,31,47,7
4,15,17,35,58,17
23,24,27,39,41,30
2,6,11,30,31,33
1,26,34,38,51,6
21,33,35,38,45,12
10,14,25,39,53,18
13,22,23,29,31,17
1,16,21,29,40,30
1,12,32,42,58,12
1,19,45,46,58,29
33,39,40,41,54,28
2,30,33,39,44,1
2,4,6,12,38,17
7,19,23,50,54,14
11,16,30,38,42,7
14,25,30,33,47,8
8,14,39,46,47,18
11,24,31,40,44,27
34,36,38,42,50,33
8,12,15,35,50,32
11,17,25,28,46,12
17,19,21,32,39,8
10,14,18,34,51,26
1,9,29,32,49,22
1,24,44,45,51,28
11,13,25,39,54,19
5,10,21,34,58,33
24,36,51,52,56,22
5,11,16,26,50,34
12,24,35,36,49,1
16,19,20,29,33,10
11,12,15,28,57,23
15,16,23,27,36,9
2,4,10,41,53,22
2,9,19,28,29,19
14,15,47,49,59,10
4,18,43,46,55,25
17,27,37,40,53,35
7,10,11,14,36,15
11,12,46,47,50,22
14,15,19,31,56,5
22,31,38,47,48,15
5,13,28,43,55,33
34,44,48,54,55,10
12,15,22,43,49,14
25,30,32,46,54,26
13,24,30,42,48,27
16,17,22,46,54,35
23,49,53,54,57,35
6,36,38,48,51,17
13,16,33,35,51,28
37,39,51,52,55,11
9,19,33,38,54,15
2,11,19,21,42,34
1,3,13,25,38,17
25,28,48,57,59,16
6,10,51,54,57,12
29,30,40,42,50,16
20,26,27,36,54,19
5,7,19,27,28,20
10,19,37,38,39,28
5,16,31,46,50,18
13,18,24,25,33,31
1,4,18,20,45,7
2,11,35,52,54,13
7,14,21,24,41,26
22,23,30,37,39,16
18,25,36,48,50,23
1,6,16,37,53,27
2,14,39,40,43,13
9,29,31,43,50,18
2,16,43,45,51,35
5,28,31,52,59,27
17,24,26,45,46,19
28,32,35,36,52,31
4,8,21,38,40,3
7,8,17,48,59,9
8,37,39,40,52,24
3,12,31,34,51,24
1,8,24,28,49,24
12,26,44,46,47,29
13,30,42,49,53,29
24,28,30,38,39,16
4,10,12,22,31,3
10,17,25,45,53,9
5,15,18,26,32,35
2,3,7,23,51,26
9,25,42,55,57,14
24,34,36,57,58,11
